band,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,tau_up_band,tau_down_band,path_radiance_band_W_m2_sr_um,sky_radiance_band_W_m2_sr_um,path_scattering_radiance_band_W_m2_sr_um,solar_irradiance_band_W_m2_um,unit_status,integration_method,source_case_ids
MWIR,Mid-Latitude Summer,Rural,default,5,3,3,20,45,0.3234554128,0.57325377,0.3097761796,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng20_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng20_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng20_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,3,3,20,45,0.3234554128,0.57325377,0.3097761796,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng20_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng20_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng20_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,3,3,20,45,0.3234554128,0.57325377,0.3097761796,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng20_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng20_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng20_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,3,3,20,45,0.3253305431,0.5734693103,0.3092579069,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng20_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng20_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng20_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,3,3,35,45,0.2339975278,0.57325377,0.3480127073,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng35_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng35_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng35_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,3,3,35,45,0.2339975278,0.57325377,0.3480127073,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng35_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng35_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng35_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,3,3,35,45,0.2339975278,0.57325377,0.3480127073,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng35_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng35_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng35_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,3,3,35,45,0.2339975278,0.57325377,0.3480127073,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng35_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng35_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng35_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,3,3,35,45,0.2366182518,0.5734693103,0.3473372159,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng35_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng35_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng35_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,3,3,50,45,0.180743294,0.57325377,0.3691266775,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng50_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng50_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng50_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,3,3,50,45,0.180743294,0.57325377,0.3691266775,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng50_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng50_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng50_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,3,3,50,45,0.180743294,0.57325377,0.3691266775,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng50_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng50_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng50_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,3,3,50,45,0.180743294,0.57325377,0.3691266775,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng50_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng50_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng50_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,3,3,50,45,0.1840903804,0.5734693103,0.3683143522,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng50_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng50_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng50_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,5,3,2,45,0.6954136838,0.57325377,0.09798698768,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng2_vis2_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis2_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,5,3,2,45,0.6954136838,0.57325377,0.09798698768,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng2_vis5_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis5_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,5,3,2,45,0.6954136838,0.57325377,0.09798698768,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs5_tar3_rng2_vis10_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis10_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis10_aerRural_humdefault_sza45
