"case_id","engine_path","engine_file_version","generated_at","output_kind","output_file","output_sha256"
"mwir_std_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.8681585+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_trans\MODOUT2.txt","44b253d9d0f6f8dc9459070737eb55955060f214f5b2c182114957792d5611a2"
"mwir_std_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.8705712+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_trans\MODOUT1.txt","4e8d92095c3d661e33a2deafb54915effb7e903b1aca7a39cd93f165a5f8d2b5"
"qc_range_1_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.9809886+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_1_thermal\MODOUT2.txt","a92497f8b7568a9d0ca935e214860934f2732db5d9a1422f869a3b76b2f63437"
"qc_range_1_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:57.9834770+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_1_thermal\MODOUT1.txt","91023e27b708fa9d9c5db070cba9bc54994e4e12c17062391dcc5e63ed4cdd1a"
"qc_range_1_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.1026612+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_1_trans\MODOUT2.txt","55d840011aa00c45a9ccb0ec74cc6ceb757683c01109797535a065784ac7c7c3"
"qc_range_1_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.1048867+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_1_trans\MODOUT1.txt","75f695509599618db5cecf729eedb091c16cceb5993618ba1ddd5f1bcf7e13fa"
"qc_range_10_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.2359023+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_10_thermal\MODOUT2.txt","4e4f4f62a90ec36eb41576dda665b0a168b49b6d7d8677c80ec07513b698c233"
"qc_range_10_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.2383855+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_10_thermal\MODOUT1.txt","0bd01b1f9fa37dc09ae647e5add5ccede08226c693325f9dba419d7805d2e3f8"
"qc_range_10_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.3555124+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_10_trans\MODOUT2.txt","7153b888171e4520ef04fcb5c2d024bb1f725880cccb58ebc773112b922a8c9b"
"qc_range_10_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.3589036+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_range_10_trans\MODOUT1.txt","523524ac721b3dc2841c16fcf861b1ee87c75cf50d2f6c85e772c3cca8ac7eee"
