case_id,source_file,raw_unit_radiance,raw_unit_irradiance,si_unit_radiance,si_unit_irradiance,conversion_method,wavenumber_cm1,wavelength_um,tau_los,path_thermal_native,path_thermal_W_m2_sr_um,thermal_scatter_native,thermal_scatter_W_m2_sr_um,surface_emission_native,surface_emission_W_m2_sr_um,solar_scatter_native,solar_scatter_W_m2_sr_um,single_scatter_native,single_scatter_W_m2_sr_um,ground_reflected_native,ground_reflected_W_m2_sr_um,direct_reflected_native,direct_reflected_W_m2_sr_um,total_radiance_native_diagnostic_only,path_radiance_excluding_surface_W_m2_sr_um
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2233.0,4.478280340349306,0.08082881,2.5307e-08,0.126188015723,0.0,0.0,0.0,0.0,1.8622e-12,9.2854673758e-06,1.8622e-12,9.2854673758e-06,0.0,0.0,0.0,0.0,2.5309e-08,0.1261973011903758
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2234.0,4.476275738585497,0.14149231,2.7303e-08,0.136262611068,0.0,0.0,0.0,0.0,3.0089e-12,1.5016685728399998e-05,3.0089e-12,1.5016685728399998e-05,0.0,0.0,0.0,0.0,2.7306e-08,0.1362776277537284
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2235.0,4.47427293064877,0.06821129,2.4908e-08,0.1244210643,0.0,0.0,0.0,0.0,1.6468e-12,8.22613653e-06,1.6468e-12,8.22613653e-06,0.0,0.0,0.0,0.0,2.491e-08,0.12442929043652999
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2236.0,4.47227191413238,0.09990367,2.642e-08,0.13209196831999998,0.0,0.0,0.0,0.0,2.2569e-12,1.1283813902399997e-05,2.2569e-12,1.1283813902399997e-05,0.0,0.0,0.0,0.0,2.6423e-08,0.13210325213390237
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2237.0,4.470272686633884,0.06464101,2.5788e-08,0.129047510172,0.0,0.0,0.0,0.0,1.6597e-12,8.3054192893e-06,1.6597e-12,8.3054192893e-06,0.0,0.0,0.0,0.0,2.579e-08,0.1290558155912893
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2238.0,4.468275245755138,0.07256054,2.4936e-08,0.124895546784,0.0,0.0,0.0,0.0,1.764e-12,8.835248016000001e-06,1.764e-12,8.835248016000001e-06,0.0,0.0,0.0,0.0,2.4938e-08,0.124904382032016
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2239.0,4.466279589102278,0.05451492,2.5178e-08,0.12622036053799995,0.0,0.0,0.0,0.0,1.48e-12,7.419419079999998e-06,1.48e-12,7.419419079999998e-06,0.0,0.0,0.0,0.0,2.518e-08,0.12622777995707996
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2240.0,4.464285714285714,0.06889246,2.5316e-08,0.1270255616,0.0,0.0,0.0,0.0,1.7581e-12,8.821442559999998e-06,1.7581e-12,8.821442559999998e-06,0.0,0.0,0.0,0.0,2.5318e-08,0.12703438304256
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2241.0,4.462293618920125,0.05161539,2.6643e-08,0.133803304083,0.0,0.0,0.0,0.0,1.2843e-12,6.449858628300001e-06,1.2843e-12,6.449858628300001e-06,0.0,0.0,0.0,0.0,2.6644e-08,0.1338097539416283
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2242.0,4.460303300624442,0.05116271,2.3959e-08,0.12043144687600002,0.0,0.0,0.0,0.0,1.3812e-12,6.9426901968000015e-06,1.3812e-12,6.9426901968000015e-06,0.0,0.0,0.0,0.0,2.3961e-08,0.12043838956619682
