case_id,source_file,raw_unit_radiance,raw_unit_irradiance,si_unit_radiance,si_unit_irradiance,conversion_method,wavelength_nm,wavelength_um,altitude_km,upward_diffuse_native_W_cm2_nm,downward_diffuse_native_W_cm2_nm,direct_solar_native_W_cm2_nm,upward_diffuse_W_m2_um,downward_diffuse_W_m2_um,direct_solar_W_m2_um
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3533.57,3.53357,5.0,2.25425e-07,9.02013e-08,7.74722e-07,2.25425,0.9020130000000001,7.74722
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3532.32,3.5323200000000003,5.0,2.46861e-07,9.15703e-08,7.89299e-07,2.46861,0.9157029999999999,7.89299
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3531.07,3.53107,5.0,2.58267e-07,9.26549e-08,8.00622e-07,2.5826700000000002,0.926549,8.006219999999999
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3529.83,3.52983,5.0,2.56687e-07,9.35365e-08,8.08904e-07,2.5668699999999998,0.935365,8.08904
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3528.58,3.52858,5.0,2.26338e-07,9.2547e-08,8.00222e-07,2.26338,0.92547,8.00222
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3527.34,3.52734,5.0,2.20182e-07,9.16963e-08,7.92401e-07,2.20182,0.9169630000000001,7.924009999999999
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3526.09,3.52609,5.0,2.79221e-07,9.37385e-08,8.09985e-07,2.7922100000000003,0.937385,8.09985
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3524.85,3.52485,5.0,2.91675e-07,9.55008e-08,8.24211e-07,2.91675,0.9550080000000001,8.24211
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3523.61,3.52361,5.0,2.61705e-07,9.56801e-08,8.24997e-07,2.61705,0.956801,8.24997
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3522.37,3.52237,5.0,2.81486e-07,9.57564e-08,8.27046e-07,2.81486,0.957564,8.27046
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3521.13,3.5211300000000003,5.0,2.97397e-07,9.5547e-08,8.26908e-07,2.9739700000000004,0.95547,8.26908
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3519.89,3.5198899999999997,5.0,2.82645e-07,9.56159e-08,8.2816e-07,2.82645,0.956159,8.281600000000001
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3518.65,3.51865,5.0,2.7016e-07,9.60811e-08,8.32604e-07,2.7016,0.9608110000000001,8.326039999999999
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3517.41,3.51741,5.0,2.50863e-07,9.62271e-08,8.34052e-07,2.5086299999999997,0.962271,8.34052
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3516.17,3.5161700000000002,5.0,2.23761e-07,9.60326e-08,8.3157e-07,2.23761,0.960326,8.3157
mwir_std_flux,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\spectral_flux.flx,,W/(cm^2 nm),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e7 (cm^-2/nm -> m^-2/um),3514.94,3.51494,5.0,2.14513e-07,9.59302e-08,8.29749e-07,2.14513,0.959302,8.29749
